mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.548776706059774,0.3030654247569043,0.025359948476155598,0.002857691005698045,9,sqrt,64,"{'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 64}",-8.081337624686011,-8.039804066141558,-9.533297284954966,-8.551479658594179,0.6944569330039548,7
3.9681645234425864,0.26276529399212245,0.03816803296407064,0.0018533378581343947,13,sqrt,70,"{'max_depth': 13, 'max_features': 'sqrt', 'n_estimators': 70}",-7.835274438413795,-7.828081794691221,-9.367162963163151,-8.343506398756055,0.7238404542997181,6
2.3075239658355713,0.01106969683370122,0.04945222536722819,0.010556136542172337,9,log2,124,"{'max_depth': 9, 'max_features': 'log2', 'n_estimators': 124}",-8.478595527692042,-8.354511257909142,-9.963313266584219,-8.932140017395133,0.7309071664191332,9
8.376858154932657,0.7748004568922894,0.07802788416544597,0.0021483232439076594,13,sqrt,149,"{'max_depth': 13, 'max_features': 'sqrt', 'n_estimators': 149}",-7.827125679283658,-7.712497914373303,-9.329643066160376,-8.289755553272446,0.7367991181307016,4
36.46445926030477,8.088101681401174,0.21657109260559082,0.07065685008691815,10,,199,"{'max_depth': 10, 'max_features': None, 'n_estimators': 199}",-5.278071759022618,-5.091884180323747,-6.08213771299542,-5.484031217447263,0.4297014379218138,3
0.6617662111918131,0.04908338825056419,0.025040705998738606,0.0036936723562723804,4,log2,87,"{'max_depth': 4, 'max_features': 'log2', 'n_estimators': 87}",-8.496980158709917,-8.397228611898436,-10.030360146246244,-8.974856305618198,0.7474640954401468,10
1.5323163668314617,0.061656419533386526,0.030741453170776367,0.003027650234497741,4,sqrt,107,"{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 107}",-8.224049214852853,-7.934786164671896,-9.926234940648866,-8.695023440057872,0.8785706564037767,8
5.649451891581218,0.18840091178506974,0.05143117904663086,0.0008187297477788084,14,sqrt,98,"{'max_depth': 14, 'max_features': 'sqrt', 'n_estimators': 98}",-7.880266662443038,-7.702391065942458,-9.315142126954466,-8.299266618446653,0.7219936373436697,5
16.542651255925495,2.2587580247144254,0.09699757893880208,0.01133800904036064,12,,100,"{'max_depth': 12, 'max_features': None, 'n_estimators': 100}",-5.271162273964172,-5.076086118411748,-6.08096570149895,-5.476071364624957,0.43507589047042494,2
21.234659274419148,1.5881224612333311,0.13296087582906088,0.03397872391574684,14,,113,"{'max_depth': 14, 'max_features': None, 'n_estimators': 113}",-5.256748792047088,-5.064742047711524,-6.0857613408971565,-5.469084060218591,0.4430461216370289,1
